abrahamic_covenant__isaac_covenant_reading	undetermined	gap	5
abrahamic_covenant__ishmael_covenant_reading	gap	gap	5
abrahamic_covenant__land_promise_constraint	gap	gap	5
acceptable_risk_energy__catastrophic_tail_dominant	gap	gap	5
acceptable_risk_energy__expected_value_dominant	undetermined	gap	5
acceptable_risk_energy__option_value_preserving	undetermined	undetermined	null
acceptable_risk_for_energy__catastrophic_tail_dominant	undetermined	gap	5
acceptable_risk_for_energy__comparative_risk_dominant	undetermined	gap	5
acceptable_risk_for_energy__expected_value_dominant	undetermined	gap	3
ai_alignment_commitment__ethics_justice_reading	undetermined	gap	5
ai_alignment_commitment__integrated_reading	gap	gap	5
ai_alignment_commitment__safety_control_reading	undetermined	gap	5
ai_alignment_priority__existential_risk_reading	undetermined	gap	3
ai_alignment_priority__integrated_reading	undetermined	gap	6
ai_alignment_priority__nearterm_harms_reading	gap	gap	5
ai_dignity_safeguarding__autonomy_rights_reading	undetermined	undetermined	null
ai_dignity_safeguarding__imago_dei_reading	undetermined	gap	3
ai_dignity_safeguarding__posthuman_continuity_reading	undetermined	no_gap	0
ai_governance_legitimacy__magisterial_subsidiarity_reading	gap	gap	3
ai_governance_legitimacy__market_libertarian_reading	undetermined	no_gap	0
ai_governance_legitimacy__technocratic_optimization_reading	no_gap	no_gap	0
ai_human_relationship__incarnational_humanism	no_gap	no_gap	0
ai_human_relationship__instrumental_subsidiarity	gap	gap	4
ai_human_relationship__technocratic_optimization	gap	gap	5
ai_risk_governance_priority__bridge_reading	gap	gap	3
ai_risk_governance_priority__existential_risk_reading	undetermined	gap	5
ai_risk_governance_priority__near_term_harms_reading	undetermined	gap	3
ai_risk_prioritization__existential_risk_reading	gap	gap	5
ai_risk_prioritization__near_term_harms_reading	gap	gap	5
ai_safety_commitment__dual_priority_reading	undetermined	gap	3
ai_safety_commitment__existential_risk_reading	gap	gap	3
ai_safety_commitment__near_term_harms_reading	gap	gap	5
all_men_created_equal__originalist_reading	gap	gap	5
all_men_created_equal__textualist_paradox_reading	undetermined	gap	3
all_men_created_equal__universalist_reading	undetermined	no_gap	0
aneyoshi_land_use_prohibition__behavioral_competence_reading	no_gap	no_gap	0
aneyoshi_land_use_prohibition__commemorative_husk_reading	gap	undetermined	null
aneyoshi_stone_commitment__behavioral_competence_reading	no_gap	no_gap	0
aneyoshi_stone_commitment__commemorative_husk_reading	gap	gap	3
aneyoshi_stone_directive__behavioral_competence_reading	no_gap	no_gap	0
aneyoshi_stone_directive__commemorative_husk_reading	undetermined	gap	3
animal_moral_status__abolitionist_reading	gap	gap	3
animal_moral_status__property_reading	no_gap	no_gap	0
animal_moral_status__welfare_reading	undetermined	gap	5
animal_status__abolitionist_reading	undetermined	no_gap	0
animal_status__property_reading	undetermined	no_gap	0
animal_status__welfare_reading	gap	gap	3
animal_status_kernel__abolitionist_reading	gap	gap	5
animal_status_kernel__welfare_reading	gap	gap	3
anthropological_record__creationist_reading	gap	gap	5
anthropological_record__indigenous_epistemology_reading	gap	gap	5
anthropological_record__naturalist_reading	undetermined	gap	5
article17_erasure_right__censorship_mechanism_reading	undetermined	gap	5
article17_erasure_right__competitive_moat_reading	gap	gap	2
article17_erasure_right__privacy_fundamental_reading	no_gap	no_gap	0
article_17_complementarity__international_oversight_reading	undetermined	gap	3
article_17_complementarity__national_primacy_reading	undetermined	gap	3
article_27_veto_power__coordination_reading	undetermined	no_gap	0
article_27_veto_power__oligopoly_reading	undetermined	gap	3
article_27_veto_power__sovereignty_reading	undetermined	gap	4
article_2_7_chapter_vii_tension__r2p_reading	gap	gap	3
article_2_7_chapter_vii_tension__sovereignty_first_reading	undetermined	gap	3
article_51_self_defense__expansive_preventive_reading	undetermined	gap	5
article_51_self_defense__narrow_armed_attack_reading	no_gap	no_gap	0
article_51_self_defense__unable_unwilling_doctrine_reading	undetermined	gap	3
article_9_war_renunciation__collective_self_defense_reading	undetermined	gap	3
article_9_war_renunciation__inherent_right_reading	undetermined	no_gap	0
article_9_war_renunciation__strict_pacifist_reading	gap	gap	5
balfour_mandate_instruments__dual_obligation_indigenous_rights	undetermined	gap	3
balfour_mandate_instruments__jewish_national_home_primacy	gap	gap	5
balfour_mandate_instruments__mandatory_interpretive_discretion	undetermined	gap	5
basic_law_interpretive_authority__judicial_supremacy_reading	undetermined	gap	3
basic_law_interpretive_authority__popular_constitutionalism_reading	gap	no_gap	0
basic_law_interpretive_boundary__balanced_contestation_reading	undetermined	undetermined	null
basic_law_interpretive_boundary__judicial_supremacy_reading	undetermined	gap	2
beta_designation_doctrine__expansive_shield_reading	undetermined	gap	3
