constraint_id,h1_band,proj_v1,proj_v2,proj_v3,proj_v4,efrac_v1,efrac_v2,efrac_v3,efrac_v4
26usc469_real_estate_exemption,3,-1.5207329681866009,0.22733416567877313,0.20227030958202805,0.06786477679250219,-1.4159849700267724e-14,0.0017254769023535446,0.2688683739824787,0.7294061491151819
absorbing_markov_chain_trap,5,-1.1152045101808734,0.16671166287618003,0.14833188560926247,0.04976715402649711,-1.4159986329020903e-14,0.0017254913059946558,0.2688719866007601,0.7294025220932594
abstraction_boundary_overrun,3,-1.642391835431751,0.2455209404137091,0.21845238023368274,0.07329413631204253,-1.4159788122672989e-14,0.0017254694988989479,0.2688682270841906,0.7294063034169246
abstraction_leakage,3,-1.5004565320619936,0.22430340784345493,0.19957334297360904,0.06696038078330292,-1.4159706523302668e-14,0.0017254650532209782,0.2688655755551522,0.729408959391641
academic_fashion_modernism_2026,0,-1.3787981441926322,0.2061163194966277,0.18339208311207478,0.06153114153767999,-1.4159703119948738e-14,0.0017254585625940742,0.2688664765099651,0.729408064927455
academic_peer_review_gatekeeping,3,-1.5207329681866009,0.22733416567877313,0.20227030958202805,0.06786477679250219,-1.4159849700267724e-14,0.0017254769023535446,0.2688683739824787,0.7294061491151819
academic_tenure_system,3,-1.5207329681866009,0.22733416567877313,0.20227030958202805,0.06786477679250219,-1.4159849700267724e-14,0.0017254769023535446,0.2688683739824787,0.7294061491151819
access_arbitrage,3,-0.9124394043593581,0.13640098680143772,0.12136205160756246,0.040719216305530874,-1.4159668585247755e-14,0.0017254685873906183,0.26886456251727314,0.7294099688953504
acip_hep_b_infant_mandate,0,-0.3649761223596621,0.05456063781669911,0.0485454011648436,0.016287958284703582,-1.4159260649897979e-14,0.0017254308429591567,0.2688627155874669,0.729411853569588
ad_fus_coordination,3,-1.5207329681866009,0.22733416567877313,0.20227030958202805,0.06786477679250219,-1.4159849700267724e-14,0.0017254769023535446,0.2688683739824787,0.7294061491151819
