constraint_id,h1,max_tvd,d_FR_worst,near_threshold
biological_curiosity,4,0.012355204576542489,0.08634394538003494,False
burali_forti_paradox,4,0.03626498678047052,0.1941567827427018,False
burden_of_proof_legal_criminal,3,0.029323536536573935,0.12506773931567022,False
click_chemistry_paradigm_2026,4,0.0044930073743136845,0.05161900022101226,False
endowment_effect,4,0.029810426642820853,0.1344279159076598,False
ergo_nipopows,4,0.011281223809668228,0.08180261485401213,False
galois_theory_symmetry,4,0.03851275865786197,0.19915212848110453,False
genetic_algorithms_evolution,4,0.014924724245424348,0.09410215010571807,False
hilberts_hotel_infinity,4,0.011434581841825664,0.08283473314507483,False
kjv_linguistic_residue,3,0.014613421521916026,0.0986504595933463,False
milano_cortina_2026,3,0.0017814815917821525,0.038071406574561366,False
mvt_theorem_constraint,4,0.011282093257654724,0.08180824137060909,False
postman_survival_protocol,3,0.04244988667943517,0.19197317314332993,True
targeted_dream_incubation,3,0.012050011940529577,0.07695165952199125,False
udhr_1948,3,0.03519669204281439,0.13777419210098052,False
